dataset,model,imputer,mechanism,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,ece,accuracy_change_vs_clean,roc_auc_change_vs_clean,brier_change_vs_clean,ece_change_vs_clean
statlog_heart,logistic_regression,iterative,mcar,3,0.1,0.11182336182336182,0.09116809116809117,0.7592592592592593,0.8597222222222223,0.1669794374110226,0.10776703445610222,-0.01851851851851849,-0.005555555555555536,-0.00011913798541862697,-0.057934332206261846
statlog_heart,logistic_regression,iterative,mcar,3,0.2,0.21616809116809116,0.1794871794871795,0.6851851851851852,0.8083333333333332,0.18482911609087385,0.18533720173205487,-0.09259259259259256,-0.056944444444444575,0.01773054069443261,0.0196358350696908
statlog_heart,logistic_regression,iterative,mcar,3,0.3,0.31695156695156695,0.2849002849002849,0.7407407407407407,0.7291666666666666,0.22022058086224813,0.2074750883446494,-0.03703703703703709,-0.13611111111111118,0.05312200546580689,0.041773721682285325
statlog_heart,logistic_regression,iterative,mcar,3,0.5,0.50997150997151,0.4886039886039886,0.7592592592592593,0.7333333333333334,0.20528312524620013,0.1948890334241133,-0.01851851851851849,-0.13194444444444442,0.038184549849758886,0.02918766676174922
statlog_heart,logistic_regression,iterative,mar,3,0.1,0.08641975308641975,0.09259259259259259,0.7962962962962963,0.8638888888888889,0.16713270028002689,0.16297962766123228,0.01851851851851849,-0.001388888888888884,3.412488358564558e-05,-0.00272173900113179
statlog_heart,logistic_regression,iterative,mar,3,0.2,0.18209876543209877,0.17901234567901234,0.7777777777777778,0.8666666666666667,0.1656659107617122,0.1405737064181351,0.0,0.001388888888888884,-0.0014326646347290473,-0.025127660244228966
statlog_heart,logistic_regression,iterative,mar,3,0.3,0.279320987654321,0.30246913580246915,0.7777777777777778,0.8527777777777777,0.16804286920374065,0.1684793604305903,0.0,-0.012500000000000067,0.0009442938072994067,0.002777993768226239
statlog_heart,logistic_regression,iterative,mar,3,0.5,0.49537037037037035,0.5061728395061729,0.7407407407407407,0.8666666666666667,0.17168556897652718,0.17175068981654187,-0.03703703703703709,0.001388888888888884,0.004586993580085935,0.006049323154177805
statlog_heart,logistic_regression,iterative,mnar,3,0.1,0.10493827160493827,0.11728395061728394,0.7777777777777778,0.8611111111111112,0.17727478351260492,0.16195646447548454,0.0,-0.004166666666666652,0.010176208116163682,-0.003744902186879534
statlog_heart,logistic_regression,iterative,mnar,3,0.2,0.20987654320987653,0.25308641975308643,0.7777777777777778,0.8722222222222222,0.17594338284042876,0.15940852204528444,0.0,0.00694444444444442,0.008844807443987523,-0.006292844617079629
statlog_heart,logistic_regression,iterative,mnar,3,0.3,0.30092592592592593,0.3333333333333333,0.7777777777777778,0.8638888888888889,0.17489386756454983,0.15737738898416959,0.0,-0.001388888888888884,0.007795292168108592,-0.008323977678194483
statlog_heart,logistic_regression,iterative,mnar,3,0.5,0.5077160493827161,0.4691358024691358,0.7592592592592593,0.8666666666666667,0.179915045443064,0.14446660679962028,-0.01851851851851849,0.001388888888888884,0.012816470046622758,-0.021234759862743785
statlog_heart,logistic_regression,iterative,mcar,4,0.1,0.10398860398860399,0.1111111111111111,0.8888888888888888,0.9166666666666666,0.11592092577670533,0.10841910433377465,0.01851851851851849,-0.005555555555555647,0.012191488468717343,-0.006225321426766725
statlog_heart,logistic_regression,iterative,mcar,4,0.2,0.20975783475783477,0.21937321937321938,0.8518518518518519,0.9,0.121532634592952,0.0993659984392298,-0.01851851851851849,-0.022222222222222254,0.017803197284964004,-0.015278427321311572
statlog_heart,logistic_regression,iterative,mcar,4,0.3,0.31374643874643876,0.3247863247863248,0.8518518518518519,0.913888888888889,0.12475764961666302,0.0959741815424634,-0.01851851851851849,-0.008333333333333304,0.021028212308675034,-0.018670244218077975
statlog_heart,logistic_regression,iterative,mcar,4,0.5,0.5060541310541311,0.5085470085470085,0.7037037037037037,0.8180555555555555,0.1730181887416107,0.17820417655730353,-0.16666666666666663,-0.10416666666666674,0.06928875143362272,0.06355975079676215
statlog_heart,logistic_regression,iterative,mar,4,0.1,0.10339506172839506,0.09876543209876543,0.8518518518518519,0.9291666666666667,0.10476933209233698,0.1143561069634919,-0.01851851851851849,0.00694444444444442,0.001039894784348988,-0.0002883187970494777
statlog_heart,logistic_regression,iterative,mar,4,0.2,0.2175925925925926,0.17901234567901234,0.8518518518518519,0.9333333333333333,0.1054900718859383,0.14287321872514258,-0.01851851851851849,0.011111111111111072,0.0017606345779503096,0.028228792964601207
statlog_heart,logistic_regression,iterative,mar,4,0.3,0.31635802469135804,0.29012345679012347,0.8518518518518519,0.9347222222222222,0.10378862180573124,0.1342044178401003,-0.01851851851851849,0.012499999999999956,5.9184497743253184e-05,0.019559992079558913
statlog_heart,logistic_regression,iterative,mar,4,0.5,0.5015432098765432,0.5,0.8518518518518519,0.9194444444444445,0.11062351941392093,0.12557853536948027,-0.01851851851851849,-0.002777777777777768,0.006894082105932939,0.010934109608938897
statlog_heart,logistic_regression,iterative,mnar,4,0.1,0.11265432098765432,0.08024691358024691,0.8703703703703703,0.9333333333333333,0.10221849742150388,0.12040637137357202,0.0,0.011111111111111072,-0.0015109398864841111,0.0057619456130306446
statlog_heart,logistic_regression,iterative,mnar,4,0.2,0.20833333333333334,0.17901234567901234,0.8703703703703703,0.9361111111111111,0.10387439474165205,0.09726397893110952,0.0,0.01388888888888884,0.0001449574336640641,-0.01738044682943185
