dataset,model,mechanism,variant,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,ece,accuracy_change_vs_clean,roc_auc_change_vs_clean,brier_change_vs_clean,ece_change_vs_clean
wdbc,logistic_regression,mnar,simple_plus_indicators,1,0.5,0.4949450549450549,0.48771929824561405,0.9824561403508771,0.9980347199475925,0.01821314087660569,0.03190614407622147,0.02631578947368418,0.0003275466754012468,-0.007732309299011631,-0.007918306031311079
wdbc,logistic_regression,mnar,simple,2,0.1,0.09758241758241758,0.10175438596491228,0.956140350877193,0.9857804232804233,0.03253761334058917,0.04313378044125974,-0.00877192982456143,0.000661375661375585,0.0025837973290740307,0.0071191966442727475
wdbc,logistic_regression,mnar,simple_plus_indicators,2,0.1,0.09758241758241758,0.10175438596491228,0.956140350877193,0.984457671957672,0.030995478968732556,0.05222371072396165,-0.00877192982456143,-0.000661375661375696,0.0010416629572174187,0.016209126926974654
wdbc,logistic_regression,mnar,simple,2,0.2,0.20659340659340658,0.2,0.956140350877193,0.9841269841269842,0.03919668605703919,0.04225177830002821,-0.00877192982456143,-0.0009920634920634885,0.00924287004552405,0.006237194503041214
wdbc,logistic_regression,mnar,simple_plus_indicators,2,0.2,0.20659340659340658,0.2,0.9649122807017544,0.9837962962962964,0.03353668912444773,0.04610375732264308,0.0,-0.001322751322751281,0.003582873112932594,0.010089173525656088
wdbc,logistic_regression,mnar,simple,2,0.3,0.31824175824175827,0.312280701754386,0.956140350877193,0.9874338624338624,0.03564184518307598,0.023417955248133154,-0.00877192982456143,0.0023148148148147696,0.005688029171560846,-0.01259662854885384
wdbc,logistic_regression,mnar,simple_plus_indicators,2,0.3,0.31824175824175827,0.312280701754386,0.9649122807017544,0.9874338624338624,0.02542272315121651,0.03381996823060781,0.0,0.0023148148148147696,-0.004531092860298628,-0.0021946155663791836
wdbc,logistic_regression,mnar,simple,2,0.5,0.5068131868131868,0.512280701754386,0.956140350877193,0.9861111111111112,0.03722251193878457,0.04177382763214529,-0.00877192982456143,0.0009920634920634885,0.0072686959272694335,0.005759243835158294
wdbc,logistic_regression,mnar,simple_plus_indicators,2,0.5,0.5068131868131868,0.512280701754386,0.9649122807017544,0.9880952380952381,0.03308809217672247,0.04180477271032229,0.0,0.0029761904761904656,0.0031342761652073323,0.005790188913335298
wdbc,logistic_regression,mnar,simple,3,0.1,0.10197802197802198,0.10701754385964912,0.9824561403508771,1.0,0.01387026707436931,0.034995268971822396,-0.00877192982456143,0.0,0.002870222233373531,0.00306229860584125
wdbc,logistic_regression,mnar,simple_plus_indicators,3,0.1,0.10197802197802198,0.10701754385964912,0.9824561403508771,1.0,0.015665647227218506,0.041335810617335864,-0.00877192982456143,0.0,0.004665602386222727,0.009402840251354717
wdbc,logistic_regression,mnar,simple,3,0.2,0.2057142857142857,0.18771929824561404,0.9912280701754386,1.0,0.013169667213059625,0.038947141782085457,0.0,0.0,0.0021696223720638463,0.00701417141610431
wdbc,logistic_regression,mnar,simple_plus_indicators,3,0.2,0.2057142857142857,0.18771929824561404,0.9824561403508771,0.9996693121693121,0.015718556503491944,0.03799566088314071,-0.00877192982456143,-0.00033068783068790353,0.0047185116624961655,0.006062690517159561
wdbc,logistic_regression,mnar,simple,3,0.3,0.316043956043956,0.2719298245614035,0.9736842105263158,0.9993386243386243,0.0206290559929253,0.04412876346641327,-0.01754385964912275,-0.000661375661375696,0.009629011151929523,0.012195793100432124
wdbc,logistic_regression,mnar,simple_plus_indicators,3,0.3,0.316043956043956,0.2719298245614035,0.9824561403508771,0.9990079365079365,0.02208392983072024,0.03871417057956292,-0.00877192982456143,-0.0009920634920634885,0.011083884989724463,0.0067812002135817714
