dataset,model,mechanism,imputer,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,accuracy_change_vs_clean,roc_auc_change_vs_clean,brier_change_vs_clean
wdbc,logistic_regression,mar,knn,1,0.3,0.29406593406593406,0.2982456140350877,0.9298245614035088,0.996069439895185,0.03447338357011948,-0.02631578947368418,-0.0016377333770062341,0.008527933394502162
wdbc,logistic_regression,mar,iterative,1,0.3,0.29406593406593406,0.2982456140350877,0.9210526315789473,0.9944317065181788,0.03696809333613707,-0.03508771929824561,-0.0032754667540124682,0.011022643160519749
wdbc,logistic_regression,mar,simple,1,0.5,0.4826373626373626,0.4982456140350877,0.9385964912280702,0.99475925319358,0.04056808332234323,-0.01754385964912275,-0.0029479200786112214,0.014622633146725912
wdbc,logistic_regression,mar,knn,1,0.5,0.4826373626373626,0.4982456140350877,0.9385964912280702,0.9950867998689813,0.03687982535780879,-0.01754385964912275,-0.0026203734032099746,0.010934375182191466
wdbc,logistic_regression,mar,iterative,1,0.5,0.4826373626373626,0.4982456140350877,0.9385964912280702,0.996069439895185,0.038198250295391874,-0.01754385964912275,-0.0016377333770062341,0.012252800119774553
wdbc,logistic_regression,mar,simple,2,0.1,0.1010989010989011,0.1,0.9649122807017544,0.9851190476190477,0.03339820547745927,0.0,0.0,0.0034443894659441296
wdbc,logistic_regression,mar,knn,2,0.1,0.1010989010989011,0.1,0.9649122807017544,0.9847883597883598,0.031242797638941885,0.0,-0.00033068783068790353,0.0012889816274267475
wdbc,logistic_regression,mar,iterative,2,0.1,0.1010989010989011,0.1,0.9649122807017544,0.9851190476190477,0.030732400351581105,0.0,0.0,0.0007785843400659673
wdbc,logistic_regression,mar,simple,2,0.2,0.20483516483516484,0.19298245614035087,0.9649122807017544,0.9857804232804233,0.03508808489302739,0.0,0.000661375661375585,0.0051342688815122495
wdbc,logistic_regression,mar,knn,2,0.2,0.20483516483516484,0.19298245614035087,0.9649122807017544,0.9867724867724867,0.031182985587078056,0.0,0.0016534391534390736,0.001229169575562919
wdbc,logistic_regression,mar,iterative,2,0.2,0.20483516483516484,0.19298245614035087,0.956140350877193,0.9857804232804233,0.03198670109596625,-0.00877192982456143,0.000661375661375585,0.002032885084451111
wdbc,logistic_regression,mar,simple,2,0.3,0.30725274725274726,0.312280701754386,0.956140350877193,0.9854497354497355,0.03276904915678801,-0.00877192982456143,0.0003306878306877925,0.0028152331452728704
wdbc,logistic_regression,mar,knn,2,0.3,0.30725274725274726,0.312280701754386,0.956140350877193,0.986441798941799,0.032209877002332334,-0.00877192982456143,0.001322751322751281,0.0022560609908171964
