dataset,model,imputer,mechanism,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,ece,accuracy_change_vs_clean,roc_auc_change_vs_clean,brier_change_vs_clean,ece_change_vs_clean
wdbc,logistic_regression,iterative,mnar,2,0.2,0.20659340659340658,0.2,0.956140350877193,0.9854497354497355,0.03469359602824663,0.040885927836758595,-0.00877192982456143,0.0003306878306877925,0.00473978001673149,0.004871344039771602
wdbc,logistic_regression,iterative,mnar,2,0.3,0.31824175824175827,0.312280701754386,0.956140350877193,0.9847883597883598,0.03812480955468819,0.035566083072283594,-0.00877192982456143,-0.00033068783068790353,0.00817099354317305,-0.00044850072470339897
wdbc,logistic_regression,iterative,mnar,2,0.5,0.5068131868131868,0.512280701754386,0.9649122807017544,0.9867724867724867,0.037904796012482866,0.04791777040634931,0.0,0.0016534391534390736,0.00795098000096773,0.011903186609362314
wdbc,logistic_regression,iterative,mcar,3,0.1,0.10249084249084249,0.10994152046783626,0.9824561403508771,1.0,0.012933929107400237,0.03422866231166775,-0.00877192982456143,0.0,0.0019338842664044578,0.002295691945686601
wdbc,logistic_regression,iterative,mcar,3,0.2,0.20351648351648352,0.204093567251462,0.9824561403508771,1.0,0.014282455017241189,0.042619300284513745,-0.00877192982456143,0.0,0.00328241017624541,0.010686329918532599
wdbc,logistic_regression,iterative,mcar,3,0.3,0.30153846153846153,0.3,0.9824561403508771,1.0,0.016412556775803566,0.040469089519373634,-0.00877192982456143,0.0,0.005412511934807787,0.008536119153392488
wdbc,logistic_regression,iterative,mcar,3,0.5,0.4988278388278388,0.5046783625730994,0.9385964912280702,0.9990079365079365,0.03216539124984629,0.056042215741656735,-0.05263157894736836,-0.0009920634920634885,0.02116534640885051,0.02410924537567559
wdbc,logistic_regression,iterative,mar,3,0.1,0.10285714285714286,0.11228070175438597,0.9912280701754386,1.0,0.010539837545926814,0.037197580491928506,0.0,0.0,-0.0004602072950689647,0.00526461012594736
wdbc,logistic_regression,iterative,mar,3,0.2,0.2087912087912088,0.19649122807017544,0.9912280701754386,1.0,0.010973441996141678,0.03206240873507309,0.0,0.0,-2.6602844854100444e-05,0.00012943836909194706
wdbc,logistic_regression,iterative,mar,3,0.3,0.3134065934065934,0.2719298245614035,0.9912280701754386,1.0,0.012898163918714865,0.035901037839417275,0.0,0.0,0.0018981190777190866,0.003968067473436129
wdbc,logistic_regression,iterative,mar,3,0.5,0.5129670329670329,0.4842105263157895,0.9736842105263158,0.9983465608465608,0.022111272527798632,0.040501137878482966,-0.01754385964912275,-0.0016534391534391846,0.011111227686802854,0.00856816751250182
wdbc,logistic_regression,iterative,mnar,3,0.1,0.10197802197802198,0.10701754385964912,0.9912280701754386,1.0,0.012005645478775414,0.0385182404774335,0.0,0.0,0.0010056006377796353,0.0065852701114523515
wdbc,logistic_regression,iterative,mnar,3,0.2,0.2057142857142857,0.18771929824561404,0.9912280701754386,0.9996693121693121,0.013256353245038552,0.03265240480742514,0.0,-0.00033068783068790353,0.0022563084040427735,0.0007194344414439904
