dataset,model,mechanism,imputer,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,accuracy_change_vs_clean,roc_auc_change_vs_clean,brier_change_vs_clean
wdbc,logistic_regression,mnar,simple,2,0.3,0.31824175824175827,0.312280701754386,0.956140350877193,0.9874338624338624,0.03564184518307598,-0.00877192982456143,0.0023148148148147696,0.005688029171560846
wdbc,logistic_regression,mnar,knn,2,0.3,0.31824175824175827,0.312280701754386,0.9649122807017544,0.986441798941799,0.03582693934081898,0.0,0.001322751322751281,0.005873123329303842
wdbc,logistic_regression,mnar,iterative,2,0.3,0.31824175824175827,0.312280701754386,0.956140350877193,0.9847883597883598,0.03812480955468819,-0.00877192982456143,-0.00033068783068790353,0.00817099354317305
wdbc,logistic_regression,mnar,simple,2,0.5,0.5068131868131868,0.512280701754386,0.956140350877193,0.9861111111111112,0.03722251193878457,-0.00877192982456143,0.0009920634920634885,0.0072686959272694335
wdbc,logistic_regression,mnar,knn,2,0.5,0.5068131868131868,0.512280701754386,0.9649122807017544,0.9887566137566138,0.03333829998445064,0.0,0.0036375661375661617,0.0033844839729355036
wdbc,logistic_regression,mnar,iterative,2,0.5,0.5068131868131868,0.512280701754386,0.9649122807017544,0.9867724867724867,0.037904796012482866,0.0,0.0016534391534390736,0.00795098000096773
wdbc,logistic_regression,mnar,simple,3,0.1,0.10197802197802198,0.10701754385964912,0.9824561403508771,1.0,0.01387026707436931,-0.00877192982456143,0.0,0.002870222233373531
wdbc,logistic_regression,mnar,knn,3,0.1,0.10197802197802198,0.10701754385964912,0.9824561403508771,1.0,0.014911039162148846,-0.00877192982456143,0.0,0.003910994321153067
wdbc,logistic_regression,mnar,iterative,3,0.1,0.10197802197802198,0.10701754385964912,0.9912280701754386,1.0,0.012005645478775414,0.0,0.0,0.0010056006377796353
wdbc,logistic_regression,mnar,simple,3,0.2,0.2057142857142857,0.18771929824561404,0.9912280701754386,1.0,0.013169667213059625,0.0,0.0,0.0021696223720638463
wdbc,logistic_regression,mnar,knn,3,0.2,0.2057142857142857,0.18771929824561404,0.9824561403508771,1.0,0.017131658128590906,-0.00877192982456143,0.0,0.006131613287595128
