dataset,model,mechanism,imputer,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,accuracy_change_vs_clean,roc_auc_change_vs_clean,brier_change_vs_clean
wdbc,logistic_regression,mcar,knn,1,0.5,0.4950915750915751,0.493859649122807,0.9122807017543859,0.9911562397641663,0.052492053572793344,-0.04385964912280704,-0.0065509335080249365,0.026546603397176023
wdbc,logistic_regression,mcar,iterative,1,0.5,0.4950915750915751,0.493859649122807,0.9298245614035088,0.9977071732721914,0.03518217297183129,-0.02631578947368418,1.1102230246251565e-16,0.009236722796213966
wdbc,logistic_regression,mcar,simple,2,0.1,0.10175824175824176,0.10877192982456141,0.9649122807017544,0.980489417989418,0.03059045900382822,0.0,-0.00462962962962965,0.0006366429923130822
wdbc,logistic_regression,mcar,knn,2,0.1,0.10175824175824176,0.10877192982456141,0.956140350877193,0.9847883597883598,0.03196813287926351,-0.00877192982456143,-0.00033068783068790353,0.0020143168677483753
wdbc,logistic_regression,mcar,iterative,2,0.1,0.10175824175824176,0.10877192982456141,0.9649122807017544,0.9857804232804233,0.03026174208555906,0.0,0.000661375661375585,0.0003079260740439238
wdbc,logistic_regression,mcar,simple,2,0.2,0.2019047619047619,0.20701754385964913,0.956140350877193,0.9818121693121693,0.033783608392178796,-0.00877192982456143,-0.003306878306878369,0.003829792380663659
wdbc,logistic_regression,mcar,knn,2,0.2,0.2019047619047619,0.20701754385964913,0.9649122807017544,0.9841269841269842,0.03361507343937635,0.0,-0.0009920634920634885,0.003661257427861213
wdbc,logistic_regression,mcar,iterative,2,0.2,0.2019047619047619,0.20701754385964913,0.9649122807017544,0.9857804232804233,0.03163672992276167,0.0,0.000661375661375585,0.0016829139112465308
wdbc,logistic_regression,mcar,simple,2,0.3,0.3035164835164835,0.306140350877193,0.9473684210526315,0.9841269841269842,0.03851529456799693,-0.01754385964912286,-0.0009920634920634885,0.008561478556481796
wdbc,logistic_regression,mcar,knn,2,0.3,0.3035164835164835,0.306140350877193,0.9649122807017544,0.9818121693121693,0.03503404595825001,0.0,-0.003306878306878369,0.00508022994673487
wdbc,logistic_regression,mcar,iterative,2,0.3,0.3035164835164835,0.306140350877193,0.9649122807017544,0.986111111111111,0.02712980478527774,0.0,0.0009920634920633775,-0.002824011226237398
wdbc,logistic_regression,mcar,simple,2,0.5,0.5022710622710622,0.5105263157894737,0.956140350877193,0.9738756613756614,0.03991602537276729,-0.00877192982456143,-0.011243386243386277,0.009962209361252153
wdbc,logistic_regression,mcar,knn,2,0.5,0.5022710622710622,0.5105263157894737,0.9035087719298246,0.955026455026455,0.0801234567546015,-0.06140350877192979,-0.03009259259259267,0.050169640743086365
wdbc,logistic_regression,mcar,iterative,2,0.5,0.5022710622710622,0.5105263157894737,0.9736842105263158,0.9880952380952381,0.03118226788599968,0.00877192982456143,0.0029761904761904656,0.0012284518744845423
wdbc,logistic_regression,mcar,simple,3,0.1,0.10249084249084249,0.10994152046783626,0.9824561403508771,0.9990079365079365,0.015832968660957337,-0.00877192982456143,-0.0009920634920634885,0.004832923819961558
wdbc,logistic_regression,mcar,knn,3,0.1,0.10249084249084249,0.10994152046783626,0.9736842105263158,0.9983465608465608,0.018564144638681904,-0.01754385964912275,-0.0016534391534391846,0.007564099797686125
wdbc,logistic_regression,mcar,iterative,3,0.1,0.10249084249084249,0.10994152046783626,0.9824561403508771,1.0,0.012933929107400237,-0.00877192982456143,0.0,0.0019338842664044578
wdbc,logistic_regression,mcar,simple,3,0.2,0.20351648351648352,0.204093567251462,0.9736842105263158,0.9993386243386243,0.01717535571186989,-0.01754385964912275,-0.000661375661375696,0.0061753108708741105
wdbc,logistic_regression,mcar,knn,3,0.2,0.20351648351648352,0.204093567251462,0.9824561403508771,0.9983465608465608,0.02094936301027461,-0.00877192982456143,-0.0016534391534391846,0.009949318169278831
wdbc,logistic_regression,mcar,iterative,3,0.2,0.20351648351648352,0.204093567251462,0.9824561403508771,1.0,0.014282455017241189,-0.00877192982456143,0.0,0.00328241017624541
wdbc,logistic_regression,mcar,simple,3,0.3,0.30153846153846153,0.3,0.9736842105263158,0.998015873015873,0.025053913414088833,-0.01754385964912275,-0.001984126984126977,0.014053868573093055
