dataset,model,mechanism,variant,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,ece,accuracy_change_vs_clean,roc_auc_change_vs_clean,brier_change_vs_clean,ece_change_vs_clean
wdbc,logistic_regression,mar,simple,2,0.1,0.1010989010989011,0.1,0.9649122807017544,0.9851190476190477,0.03339820547745927,0.04661674387129712,0.0,0.0,0.0034443894659441296,0.010602160074310127
wdbc,logistic_regression,mar,simple_plus_indicators,2,0.1,0.1010989010989011,0.1,0.9649122807017544,0.9851190476190477,0.030634997141487652,0.0456291805010952,0.0,0.0,0.0006811811299725148,0.009614596704108205
wdbc,logistic_regression,mar,simple,2,0.2,0.20483516483516484,0.19298245614035087,0.9649122807017544,0.9857804232804233,0.03508808489302739,0.031071236668063825,0.0,0.000661375661375585,0.0051342688815122495,-0.004943347128923168
wdbc,logistic_regression,mar,simple_plus_indicators,2,0.2,0.20483516483516484,0.19298245614035087,0.9649122807017544,0.9880952380952381,0.027653895716763563,0.03156988130368104,0.0,0.0029761904761904656,-0.0022999202947515743,-0.004444702493305953
wdbc,logistic_regression,mar,simple,2,0.3,0.30725274725274726,0.312280701754386,0.956140350877193,0.9854497354497355,0.03276904915678801,0.028973935362821605,-0.00877192982456143,0.0003306878306877925,0.0028152331452728704,-0.007040648434165388
wdbc,logistic_regression,mar,simple_plus_indicators,2,0.3,0.30725274725274726,0.312280701754386,0.9736842105263158,0.9861111111111112,0.02737877934403257,0.037440397751350704,0.00877192982456143,0.0009920634920634885,-0.0025750366674825685,0.001425813954363711
wdbc,logistic_regression,mar,simple,2,0.5,0.4918681318681319,0.5140350877192983,0.956140350877193,0.9854497354497355,0.03510476183189836,0.03734249611269524,-0.00877192982456143,0.0003306878306877925,0.005150945820383224,0.0013279123157082448
wdbc,logistic_regression,mar,simple_plus_indicators,2,0.5,0.4918681318681319,0.5140350877192983,0.9385964912280702,0.9821428571428571,0.03645904296540099,0.048197466623046574,-0.02631578947368418,-0.0029761904761905766,0.006505226953885855,0.012182882826059581
wdbc,logistic_regression,mar,simple,3,0.1,0.10285714285714286,0.11228070175438597,0.9912280701754386,1.0,0.010329179579368478,0.03584280552566964,0.0,0.0,-0.0006708652616273011,0.003909835159688492
wdbc,logistic_regression,mar,simple_plus_indicators,3,0.1,0.10285714285714286,0.11228070175438597,0.9824561403508771,1.0,0.012010404482885704,0.038905650939669315,-0.00877192982456143,0.0,0.0010103596418899255,0.006972680573688168
wdbc,logistic_regression,mar,simple,3,0.2,0.2087912087912088,0.19649122807017544,0.9824561403508771,0.9996693121693121,0.01452085063013497,0.042167700880813105,-0.00877192982456143,-0.00033068783068790353,0.0035208057891391916,0.01023473051483196
wdbc,logistic_regression,mar,simple_plus_indicators,3,0.2,0.2087912087912088,0.19649122807017544,0.9824561403508771,0.9996693121693121,0.014896936821359251,0.03863605577462431,-0.00877192982456143,-0.00033068783068790353,0.0038968919803634722,0.006703085408643165
wdbc,logistic_regression,mar,simple,3,0.3,0.3134065934065934,0.2719298245614035,0.9736842105263158,0.9996693121693121,0.02002354545801012,0.04229924309709912,-0.01754385964912275,-0.00033068783068790353,0.009023500617014341,0.010366272731117974
wdbc,logistic_regression,mar,simple_plus_indicators,3,0.3,0.3134065934065934,0.2719298245614035,0.9649122807017544,0.9986772486772486,0.02839095869904581,0.04923154861744097,-0.02631578947368418,-0.001322751322751392,0.017390913858050035,0.017298578251459827
