dataset,model,mechanism,rate,mean_accuracy,std_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_accuracy_change,mean_roc_auc_change,mean_brier_change,source_file,imputer,mean_ece,std_ece,mean_accuracy_change_vs_clean,mean_roc_auc_change_vs_clean,mean_brier_change_vs_clean,mean_ece_change_vs_clean,regime,variant
wdbc,gradient_boosting,mnar,0.5,0.9542928116752056,0.0169227846549851,0.9918715783070516,0.0071702898849513,0.0331020770836396,0.015764046769104,-0.003524297469337,0.0011654336007431,0.0042743758035724,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,logistic_regression,mar,0.1,0.971914299021891,0.0189974183616069,0.9951193595682624,0.0059486491546563,0.0212408331936353,0.0099756321360317,-0.0035087719298245,-0.0002604775942476,0.0013554216933344,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,logistic_regression,mar,0.2,0.971914299021891,0.0168509688611334,0.9935462040113204,0.006243387504384,0.0240438002537509,0.0107195858443382,-0.0035087719298245,-0.0018336331511896,0.00415838875345,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,logistic_regression,mar,0.3,0.9701599130569788,0.0181674188809407,0.9937421037855036,0.0064727300947983,0.0240275025291333,0.0079909043004884,-0.0052631578947368,-0.0016377333770062,0.0041420910288324,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,logistic_regression,mar,0.5,0.9613879832324173,0.0191882258914508,0.9930043005665344,0.0045583141782813,0.0281244167315805,0.0095199850668977,-0.0140350877192982,-0.0023755365959754,0.0082390052312797,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,logistic_regression,mcar,0.1,0.9683744760130416,0.0132806448718135,0.9938593230355433,0.0076020686547237,0.0243150630334022,0.0088166768678624,-0.0070485949386741,-0.0015205141269667,0.0044296515331013,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,logistic_regression,mcar,0.2,0.9631113181183046,0.0156529471835063,0.9925444787588582,0.0066499408770146,0.0270788558396077,0.0072095511100851,-0.0123117528334109,-0.0028353584036518,0.0071934443393068,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,logistic_regression,mcar,0.3,0.9525694767893184,0.0170443626752541,0.9910802021430912,0.0049330195387969,0.0357848586717993,0.0091205002830764,-0.0228535941623971,-0.0042996350194187,0.0158994471714985,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,logistic_regression,mcar,0.5,0.9402421984163948,0.01303144554325,0.9868243050031456,0.0082185166775171,0.0434635543159504,0.0128469117465455,-0.0351808725353206,-0.0085555321593644,0.0235781428156496,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,logistic_regression,mnar,0.1,0.9701443875174662,0.0132675932178397,0.9957117597921724,0.0059722826785336,0.0222039577439182,0.0079269367630861,-0.0052786834342493,0.0003319226296625,0.0023185462436174,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,logistic_regression,mnar,0.2,0.9754230709517157,0.01567220354891,0.9940708852598796,0.0066368784880348,0.0225787297575027,0.011174225335873,0.0,-0.0013089519026302,0.0026933182572018,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,logistic_regression,mnar,0.3,0.9684055270920664,0.0170737704652634,0.9932742016266418,0.0069995561525163,0.0237726697981462,0.0087431290993096,-0.0070175438596491,-0.002105635535868,0.0038872582978453,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,logistic_regression,mnar,0.5,0.9631423691973297,0.0168408633745767,0.992941629102782,0.0060856432600122,0.0251067112015549,0.0101659946777612,-0.0122807017543859,-0.0024382080597278,0.0052212997012541,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,random_forest,mar,0.1,0.95960254618848,0.0146228412957793,0.9893769269362946,0.0085749267345458,0.0327441526936811,0.0066676913701235,0.0052786834342493,-0.0002007414859527,-0.0008533197484862,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,random_forest,mar,0.2,0.9578326346840552,0.0113903139414761,0.9895421300412292,0.0092022590337895,0.0324925438596491,0.0076506540697299,0.0035087719298245,-3.5538381018196395e-05,-0.0011049285825182,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,random_forest,mar,0.3,0.9543238627542306,0.0113663756718233,0.9911519396308948,0.0058882383858278,0.0334555399006365,0.0070862148843152,0.0,0.0015742712086472,-0.0001419325415308,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,random_forest,mar,0.5,0.949060704859494,0.0156140158679633,0.9887512846241964,0.0085576910541782,0.0357011543238627,0.0092396331199126,-0.0052631578947368,-0.0008263837980509,0.0021036818816953,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,random_forest,mcar,0.1,0.9543393882937432,0.0143359674257767,0.9894078294053728,0.0074605013406046,0.0354528772706101,0.0055555169657467,1.5525539512495356e-05,-0.0001698390168747,0.0018554048284427,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,random_forest,mcar,0.2,0.949060704859494,0.0113303734384381,0.9893665286291392,0.0076047171930129,0.0379094666977177,0.0061702740143928,-0.0052631578947368,-0.0002111397931083,0.0043119942555503,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,random_forest,mcar,0.3,0.9455364073901568,0.0072006960180029,0.9871429264649048,0.0075851714503639,0.0421949708896134,0.0052024758129607,-0.0087874553640738,-0.0024347419573426,0.008597498447446,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,random_forest,mcar,0.5,0.9244837758112094,0.025150739084336,0.9853085242722484,0.0065204203747728,0.051677242276044,0.0084771412575444,-0.0298400869430212,-0.004269144149999,0.0180797698338767,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,random_forest,mnar,0.1,0.9508150908244062,0.0158670899882712,0.9894131152115102,0.0081145832247533,0.033293326734979,0.0059633654785555,-0.0035087719298245,-0.0001645532107372,-0.0003041457071883,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,random_forest,mnar,0.2,0.9508150908244062,0.0146044913732858,0.9898432801806532,0.0080507051767887,0.034403646561093,0.0066984623304684,-0.0035087719298245,0.0002656117584057,0.0008061741189256,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,random_forest,mnar,0.3,0.9525694767893184,0.0158756707758154,0.9912110475081324,0.0053003104626713,0.0345336201676758,0.0080747046477563,-0.0017543859649122,0.0016333790858848,0.0009361477255084,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,random_forest,mnar,0.5,0.9525694767893184,0.0116883186691472,0.9918675381314588,0.0041694579150483,0.0353707386275423,0.0080001868225521,-0.0017543859649122,0.0022898697092113,0.0017732661853749,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,gradient_boosting,mar,0.1,0.7925925925925925,0.0710010722691882,0.8666666666666666,0.0523004732882298,0.1531177831217167,0.0445471401590388,-0.0074074074074073,0.0058333333333333,-0.0025798690689713,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,gradient_boosting,mar,0.2,0.8111111111111111,0.0513868034278207,0.8766666666666667,0.042291609651485,0.1462627240233394,0.0364186782506576,0.0111111111111111,0.0158333333333333,-0.0094349281673486,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,gradient_boosting,mar,0.3,0.8111111111111111,0.0513868034278207,0.8802777777777777,0.0268490579644844,0.1454388972815301,0.0259161784289326,0.0111111111111111,0.0194444444444444,-0.0102587549091579,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,gradient_boosting,mar,0.5,0.7962962962962963,0.0570779074348979,0.8702777777777777,0.0330952143047381,0.1513926463110952,0.0318775403152349,-0.0037037037037036,0.0094444444444444,-0.0043050058795928,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,gradient_boosting,mcar,0.1,0.774074074074074,0.0710010722691882,0.8566666666666667,0.0415205772278436,0.1633866692062534,0.0398356271681295,-0.0259259259259258,-0.0041666666666666,0.0076890170155652,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,gradient_boosting,mcar,0.2,0.7555555555555555,0.0461107392518101,0.8447222222222223,0.0462147429846342,0.1739037979453447,0.031729850501015,-0.0444444444444444,-0.0161111111111111,0.0182061457546567,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,gradient_boosting,mcar,0.3,0.7444444444444445,0.0304290309725092,0.826388888888889,0.0167244369149893,0.1837596609532697,0.01554075789719,-0.0555555555555555,-0.0344444444444444,0.0280620087625816,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,gradient_boosting,mcar,0.5,0.6925925925925925,0.042632831234153,0.7947222222222223,0.0456160675341918,0.1941612796374354,0.0258524827600732,-0.1074074074074074,-0.066111111111111,0.0384636274467473,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,gradient_boosting,mnar,0.1,0.7925925925925925,0.0891969968799429,0.8633333333333333,0.0544826963129658,0.1541351753681426,0.0522113337180703,-0.0074074074074074,0.0025,-0.0015624768225454,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,gradient_boosting,mnar,0.2,0.8111111111111111,0.0901530477380598,0.8636111111111111,0.058732102606183,0.1479343272895651,0.052982842448505,0.0111111111111111,0.0027777777777777,-0.0077633249011229,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,gradient_boosting,mnar,0.3,0.7851851851851852,0.0967581516860231,0.8705555555555555,0.0514957597439336,0.1515909983835446,0.0482569829889774,-0.0148148148148147,0.0097222222222222,-0.0041066538071434,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,gradient_boosting,mnar,0.5,0.8148148148148149,0.0774685209753773,0.891388888888889,0.038582623383597,0.1368834708807867,0.045970905458241,0.0148148148148148,0.0305555555555556,-0.0188141813099013,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mar,0.1,0.8444444444444444,0.0622508752369319,0.8969444444444445,0.0391287247270522,0.1232846847002716,0.0344903990911828,-0.0074074074074074,-0.0030555555555555,0.0012371524700321,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mar,0.2,0.8481481481481481,0.0513868034278207,0.893888888888889,0.0334142536304346,0.1244042363642586,0.0281471854422403,-0.0037037037037037,-0.006111111111111,0.0023567041340191,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mar,0.3,0.8407407407407408,0.0549348036081159,0.8869444444444443,0.0343395580477323,0.1296049633954223,0.026166849076739,-0.011111111111111,-0.0130555555555555,0.0075574311651828,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mar,0.5,0.8296296296296296,0.0605756564214671,0.8880555555555556,0.0350347050159631,0.1301734338348447,0.0318190162046003,-0.0222222222222222,-0.0119444444444444,0.0081259016046052,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mcar,0.1,0.8222222222222222,0.0579721327499945,0.8894444444444444,0.0461332778045052,0.1319161971763628,0.0365696216289415,-0.0296296296296296,-0.0105555555555555,0.0098686649461234,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mcar,0.2,0.8148148148148149,0.0654728501098655,0.8780555555555555,0.0508265022732563,0.1377136800407812,0.0324276342786905,-0.037037037037037,-0.0219444444444444,0.0156661478105418,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mcar,0.3,0.7925925925925925,0.0442123569863456,0.8616666666666667,0.0737066989434189,0.1480341513028504,0.0371465238651555,-0.0592592592592592,-0.0383333333333333,0.025986619072611,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mcar,0.5,0.7666666666666666,0.0687932430407656,0.8177777777777777,0.0579218289732371,0.1712025016497632,0.031145591944739,-0.0851851851851852,-0.0822222222222222,0.0491549694195238,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mnar,0.1,0.8481481481481481,0.0745355992499929,0.8949999999999999,0.0393401398693277,0.1259873492049732,0.0395931935462919,-0.0037037037037037,-0.005,0.0039398169747337,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mnar,0.2,0.8592592592592592,0.0687932430407655,0.8969444444444445,0.0300045006912028,0.1219232315274194,0.0328997004489527,0.0074074074074073,-0.0030555555555555,-0.0001243007028199,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mnar,0.3,0.8703703703703705,0.0654728501098654,0.8950000000000001,0.0318628184178811,0.1214878266173679,0.0323422765986855,0.0185185185185185,-0.0049999999999999,-0.0005597056128715,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mnar,0.5,0.8518518518518519,0.0654728501098655,0.8991666666666667,0.0235824990036946,0.1225794356233126,0.0289910140160176,-2.220446049250313e-17,-0.0008333333333333,0.0005319033930732,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,random_forest,mar,0.1,0.8185185185185185,0.0576755981570275,0.8919444444444444,0.0361898180721977,0.1301504629629629,0.0256062768951461,-0.0037037037037037,0.0043055555555555,-0.0014550925925925,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,random_forest,mar,0.2,0.8111111111111111,0.0530289669010235,0.8922222222222222,0.037795900473366,0.1291018518518518,0.0276595349906719,-0.0111111111111111,0.0045833333333333,-0.0025037037037036,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,random_forest,mar,0.3,0.8185185185185185,0.0605756564214671,0.8819444444444444,0.0341515605720467,0.1309528703703703,0.0234302561860206,-0.0037037037037037,-0.0056944444444444,-0.0006526851851851,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,random_forest,mar,0.5,0.8222222222222222,0.053351334410696,0.8775000000000001,0.0335014568045136,0.1336912037037037,0.0253301257707511,-2.220446049250313e-17,-0.0101388888888888,0.0020856481481481,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,random_forest,mcar,0.1,0.8148148148148149,0.0539902953226416,0.8838888888888888,0.0547277739710575,0.133472037037037,0.0325922127365017,-0.0074074074074074,-0.0037499999999999,0.0018664814814815,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,random_forest,mcar,0.2,0.8333333333333334,0.0752225778207033,0.8797222222222223,0.0484356954064476,0.1393042592592592,0.0263064238644383,0.011111111111111,-0.0079166666666666,0.0076987037037037,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,random_forest,mcar,0.3,0.788888888888889,0.0360992383141073,0.8393055555555555,0.0516290372229416,0.1597103703703703,0.0257779980347091,-0.0333333333333333,-0.0483333333333333,0.0281048148148148,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,random_forest,mcar,0.5,0.7333333333333333,0.0649469552472229,0.795,0.0851542944191583,0.1823958621505323,0.0400315837306332,-0.0888888888888889,-0.0926388888888889,0.0507903065949768,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,random_forest,mnar,0.1,0.8222222222222223,0.0636132001382136,0.8797222222222223,0.0451880074634688,0.1354764814814814,0.0289830655358572,2.220446049250313e-17,-0.0079166666666666,0.0038709259259259,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,random_forest,mnar,0.2,0.8148148148148149,0.0654728501098655,0.8836111111111112,0.0460762711419411,0.1332522222222222,0.0292706322309773,-0.0074074074074074,-0.0040277777777777,0.0016466666666666,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,random_forest,mnar,0.3,0.8555555555555555,0.0356210815956877,0.8881944444444445,0.0374356443665098,0.1294597222222221,0.0239606940664623,0.0333333333333333,0.0005555555555556,-0.0021458333333333,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,random_forest,mnar,0.5,0.8518518518518519,0.0434297755539206,0.8897222222222222,0.0321640998783994,0.1297897222222222,0.0232515120277878,0.0296296296296296,0.0020833333333333,-0.0018158333333333,statlog_combined_model_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mar,0.1,0.8444444444444444,0.0622508752369319,0.8969444444444445,0.0391287247270522,0.1232846847002716,0.0344903990911828,-0.0074074074074074,-0.0030555555555555,0.0012371524700321,combined_logreg_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mar,0.2,0.8481481481481481,0.0513868034278207,0.893888888888889,0.0334142536304346,0.1244042363642586,0.0281471854422403,-0.0037037037037037,-0.006111111111111,0.0023567041340191,combined_logreg_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mar,0.3,0.8407407407407408,0.0549348036081159,0.8869444444444443,0.0343395580477323,0.1296049633954223,0.026166849076739,-0.011111111111111,-0.0130555555555555,0.0075574311651828,combined_logreg_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mar,0.5,0.8296296296296296,0.0605756564214671,0.8880555555555556,0.0350347050159631,0.1301734338348447,0.0318190162046003,-0.0222222222222222,-0.0119444444444444,0.0081259016046052,combined_logreg_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mcar,0.1,0.8222222222222222,0.0579721327499945,0.8894444444444444,0.0461332778045052,0.1319161971763628,0.0365696216289415,-0.0296296296296296,-0.0105555555555555,0.0098686649461234,combined_logreg_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mcar,0.2,0.8148148148148149,0.0654728501098655,0.8780555555555555,0.0508265022732563,0.1377136800407812,0.0324276342786905,-0.037037037037037,-0.0219444444444444,0.0156661478105418,combined_logreg_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mcar,0.3,0.7925925925925925,0.0442123569863456,0.8616666666666667,0.0737066989434189,0.1480341513028504,0.0371465238651555,-0.0592592592592592,-0.0383333333333333,0.025986619072611,combined_logreg_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mcar,0.5,0.7666666666666666,0.0687932430407656,0.8177777777777777,0.0579218289732371,0.1712025016497632,0.031145591944739,-0.0851851851851852,-0.0822222222222222,0.0491549694195238,combined_logreg_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mnar,0.1,0.8481481481481481,0.0745355992499929,0.8949999999999999,0.0393401398693277,0.1259873492049732,0.0395931935462919,-0.0037037037037037,-0.005,0.0039398169747337,combined_logreg_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mnar,0.2,0.8592592592592592,0.0687932430407655,0.8969444444444445,0.0300045006912028,0.1219232315274194,0.0328997004489527,0.0074074074074073,-0.0030555555555555,-0.0001243007028199,combined_logreg_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mnar,0.3,0.8703703703703705,0.0654728501098654,0.8950000000000001,0.0318628184178811,0.1214878266173679,0.0323422765986855,0.0185185185185185,-0.0049999999999999,-0.0005597056128715,combined_logreg_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mnar,0.5,0.8518518518518519,0.0654728501098655,0.8991666666666667,0.0235824990036946,0.1225794356233126,0.0289910140160176,-2.220446049250313e-17,-0.0008333333333333,0.0005319033930732,combined_logreg_mechanism_summary.csv,,,,,,,,,
wdbc,logistic_regression,mar,0.1,0.971914299021891,0.0189974183616069,0.9951193595682624,0.0059486491546563,0.0212408331936353,0.0099756321360317,-0.0035087719298245,-0.0002604775942476,0.0013554216933344,combined_logreg_mechanism_summary.csv,,,,,,,,,
wdbc,logistic_regression,mar,0.2,0.971914299021891,0.0168509688611334,0.9935462040113204,0.006243387504384,0.0240438002537509,0.0107195858443382,-0.0035087719298245,-0.0018336331511896,0.00415838875345,combined_logreg_mechanism_summary.csv,,,,,,,,,
wdbc,logistic_regression,mar,0.3,0.9701599130569788,0.0181674188809407,0.9937421037855036,0.0064727300947983,0.0240275025291333,0.0079909043004884,-0.0052631578947368,-0.0016377333770062,0.0041420910288324,combined_logreg_mechanism_summary.csv,,,,,,,,,
wdbc,logistic_regression,mar,0.5,0.9613879832324173,0.0191882258914508,0.9930043005665344,0.0045583141782813,0.0281244167315805,0.0095199850668977,-0.0140350877192982,-0.0023755365959754,0.0082390052312797,combined_logreg_mechanism_summary.csv,,,,,,,,,
wdbc,logistic_regression,mcar,0.1,0.9683744760130416,0.0132806448718135,0.9938593230355433,0.0076020686547237,0.0243150630334022,0.0088166768678624,-0.0070485949386741,-0.0015205141269667,0.0044296515331013,combined_logreg_mechanism_summary.csv,,,,,,,,,
wdbc,logistic_regression,mcar,0.2,0.9631113181183046,0.0156529471835063,0.9925444787588582,0.0066499408770146,0.0270788558396077,0.0072095511100851,-0.0123117528334109,-0.0028353584036518,0.0071934443393068,combined_logreg_mechanism_summary.csv,,,,,,,,,
wdbc,logistic_regression,mcar,0.3,0.9525694767893184,0.0170443626752541,0.9910802021430912,0.0049330195387969,0.0357848586717993,0.0091205002830764,-0.0228535941623971,-0.0042996350194187,0.0158994471714985,combined_logreg_mechanism_summary.csv,,,,,,,,,
wdbc,logistic_regression,mcar,0.5,0.9402421984163948,0.01303144554325,0.9868243050031456,0.0082185166775171,0.0434635543159504,0.0128469117465455,-0.0351808725353206,-0.0085555321593644,0.0235781428156496,combined_logreg_mechanism_summary.csv,,,,,,,,,
wdbc,logistic_regression,mnar,0.1,0.9701443875174662,0.0132675932178397,0.9957117597921724,0.0059722826785336,0.0222039577439182,0.0079269367630861,-0.0052786834342493,0.0003319226296625,0.0023185462436174,combined_logreg_mechanism_summary.csv,,,,,,,,,
wdbc,logistic_regression,mnar,0.2,0.9754230709517157,0.01567220354891,0.9940708852598796,0.0066368784880348,0.0225787297575027,0.011174225335873,0.0,-0.0013089519026302,0.0026933182572018,combined_logreg_mechanism_summary.csv,,,,,,,,,
wdbc,logistic_regression,mnar,0.3,0.9684055270920664,0.0170737704652634,0.9932742016266418,0.0069995561525163,0.0237726697981462,0.0087431290993096,-0.0070175438596491,-0.002105635535868,0.0038872582978453,combined_logreg_mechanism_summary.csv,,,,,,,,,
wdbc,logistic_regression,mnar,0.5,0.9631423691973297,0.0168408633745767,0.992941629102782,0.0060856432600122,0.0251067112015549,0.0101659946777612,-0.0122807017543859,-0.0024382080597278,0.0052212997012541,combined_logreg_mechanism_summary.csv,,,,,,,,,
statlog_heart,logistic_regression,mar,0.1,0.8407407407407408,0.0426328312341531,0.8991666666666667,0.0431741199056753,0.127800537074764,0.034729874627048,,,,combined_logreg_iterative_calibration_summary.csv,iterative,0.1228811029223673,0.0395419810548354,0.0037037037037037,0.0024999999999999,-0.0001969588304411,0.0044620841319454,,
statlog_heart,logistic_regression,mar,0.2,0.8333333333333334,0.041408666249996,0.8961111111111112,0.0400062687989004,0.1299847155436658,0.0313122319009568,,,,combined_logreg_iterative_calibration_summary.csv,iterative,0.1216723063907837,0.0244467060109057,-0.0037037037037036,-0.0005555555555555,0.0019872196384605,0.0032532876003618,,
statlog_heart,logistic_regression,mar,0.3,0.8296296296296296,0.0401471914605163,0.89,0.0381679200829281,0.1324786375954479,0.0305902127465822,,,,combined_logreg_iterative_calibration_summary.csv,iterative,0.133304022383739,0.0217571495684985,-0.0074074074074073,-0.0066666666666666,0.0044811416902427,0.014885003593317,,
statlog_heart,logistic_regression,mar,0.5,0.8111111111111111,0.0576755981570275,0.8869444444444445,0.0434080552347057,0.138081676524241,0.0357974557644591,,,,combined_logreg_iterative_calibration_summary.csv,iterative,0.1199946823826821,0.0443692139689039,-0.0259259259259259,-0.0097222222222222,0.0100841806190358,0.0015756635922602,,
statlog_heart,logistic_regression,mcar,0.1,0.825925925925926,0.0700284088932927,0.8880555555555556,0.0355539279141342,0.1350481273872426,0.0340341517721398,,,,combined_logreg_iterative_calibration_summary.csv,iterative,0.1034235259359281,0.0178032316477848,-0.011111111111111,-0.0086111111111111,0.0070506314820374,-0.0149954928544937,,
statlog_heart,logistic_regression,mcar,0.2,0.8,0.0901530477380598,0.8761111111111111,0.0411472251288282,0.1399224123953515,0.0331939979196749,,,,combined_logreg_iterative_calibration_summary.csv,iterative,0.1377619252407052,0.0390955311664642,-0.037037037037037,-0.0205555555555555,0.0119249164901462,0.0193429064502833,,
