dataset,model,imputer,mechanism,regime,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,ece,accuracy_change_vs_clean,roc_auc_change_vs_clean,brier_change_vs_clean,ece_change_vs_clean
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,1,0.3,0.0,0.289766081871345,0.9473684210526315,0.9963969865705863,0.02847840070815638,0.038689405072998846,-0.00877192982456143,-0.0013101867016049873,0.0025329505325390606,-0.0011350450345337035
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,1,0.3,0.2986080586080586,0.289766081871345,0.9385964912280702,0.9967245332459875,0.03210976626946277,0.039004136538582465,-0.01754385964912275,-0.0009826400262037405,0.006164316093845448,-0.0008203135689500846
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,1,0.5,0.0,0.493859649122807,0.9473684210526315,0.9934490664919751,0.035868407225845354,0.04542191572556353,-0.00877192982456143,-0.004258106780216209,0.009922957050228033,0.005597465618030983
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,1,0.5,0.4950915750915751,0.493859649122807,0.9298245614035088,0.9977071732721914,0.03518217297183129,0.0473068849223607,-0.02631578947368418,1.1102230246251565e-16,0.009236722796213966,0.0074824348148281525
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,2,0.1,0.0,0.10877192982456141,0.9649122807017544,0.984457671957672,0.0315375821728394,0.0401093408245817,0.0,-0.000661375661375696,0.0015837661613242598,0.004094757027594709
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,2,0.1,0.10175824175824176,0.10877192982456141,0.9649122807017544,0.9857804232804233,0.03026174208555906,0.05072542180315594,0.0,0.000661375661375585,0.0003079260740439238,0.014710838006168944
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,2,0.2,0.0,0.20701754385964913,0.956140350877193,0.9818121693121693,0.03492693365793568,0.039304458145418185,-0.00877192982456143,-0.003306878306878369,0.004973117646420541,0.003289874348431192
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,2,0.2,0.2019047619047619,0.20701754385964913,0.9649122807017544,0.9857804232804233,0.03163672992276167,0.0259537916786639,0.0,0.000661375661375585,0.0016829139112465308,-0.010060792118323093
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,2,0.3,0.0,0.306140350877193,0.9473684210526315,0.9818121693121694,0.03456006288296613,0.05222156642303552,-0.01754385964912286,-0.003306878306878258,0.004606246871450996,0.016206982626048527
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,2,0.3,0.3035164835164835,0.306140350877193,0.9649122807017544,0.986111111111111,0.02712980478527774,0.04490501800084144,0.0,0.0009920634920633775,-0.002824011226237398,0.00889043420385445
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,2,0.5,0.0,0.5105263157894737,0.956140350877193,0.9748677248677249,0.035251543670013964,0.03977183081092134,-0.00877192982456143,-0.010251322751322789,0.005297727658498827,0.003757247013934345
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,2,0.5,0.5022710622710622,0.5105263157894737,0.9736842105263158,0.9880952380952381,0.03118226788599968,0.03915961139866965,0.00877192982456143,0.0029761904761904656,0.0012284518744845423,0.0031450276016826567
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,3,0.1,0.0,0.10994152046783626,0.9824561403508771,0.9996693121693121,0.014149999311451193,0.03535315938752086,-0.00877192982456143,-0.00033068783068790353,0.003149954470455414,0.0034201890215397115
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,3,0.1,0.10249084249084249,0.10994152046783626,0.9824561403508771,1.0,0.012933929107400237,0.03422866231166775,-0.00877192982456143,0.0,0.0019338842664044578,0.002295691945686601
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,3,0.2,0.0,0.204093567251462,0.9736842105263158,0.9996693121693121,0.015929990969435443,0.03739852522793158,-0.01754385964912275,-0.00033068783068790353,0.0049299461284396644,0.005465554861950432
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,3,0.2,0.20351648351648352,0.204093567251462,0.9824561403508771,1.0,0.014282455017241189,0.042619300284513745,-0.00877192982456143,0.0,0.00328241017624541,0.010686329918532599
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,3,0.3,0.0,0.3,0.9824561403508771,0.9996693121693121,0.017155481439915854,0.04355507846572058,-0.00877192982456143,-0.00033068783068790353,0.006155436598920075,0.011622108099739431
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,3,0.3,0.30153846153846153,0.3,0.9824561403508771,1.0,0.016412556775803566,0.040469089519373634,-0.00877192982456143,0.0,0.005412511934807787,0.008536119153392488
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,3,0.5,0.0,0.5046783625730994,0.9385964912280702,0.9957010582010581,0.038090775787506186,0.06027742353001725,-0.05263157894736836,-0.004298941798941858,0.027090730946510405,0.028344453164036103
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,3,0.5,0.4988278388278388,0.5046783625730994,0.9385964912280702,0.9990079365079365,0.03216539124984629,0.056042215741656735,-0.05263157894736836,-0.0009920634920634885,0.02116534640885051,0.02410924537567559
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,4,0.1,0.0,0.10117994100294986,0.9911504424778761,0.9983232729711603,0.012471390732908653,0.024292527584066283,0.0,-0.00033534540576785066,0.0009619976172820805,0.005080061532788754
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,4,0.1,0.09926900584795322,0.10117994100294986,0.9911504424778761,0.9983232729711603,0.01243302098612351,0.02282532228574918,0.0,-0.00033534540576785066,0.0009236278704969382,0.0036128562344716515
